Company,HQ,LinkedIn URL,Company URL,Employees,Followers,Tags,Short Description,Long Description
League,Toronto,https://linkedin.com/company/league-inc-/,https://league.com/,501-1k,54k,Healthcare,The leading healthcare CX platform,"Founded in 2014, League is a platform technology company powering next-generation healthcare consumer experiences. Payers, providers, consumer health partners and employers build on League’s platform to deliver high-engagement, personalized healthcare experiences consumers love. Millions of people use solutions powered by League to access, navigate and pay for care."
FreshBooks,Toronto,https://linkedin.com/company/freshbooks/,https://freshbooks.com/,201-500,92k,Fintech,Our Mission: Execute Extraordinary Experiences Everyday to Help Owners Grow,"Accounting Software Built for Business Owners and Accountants.

Other ways to connect with us:
Visit the FreshBooks Blog: freshbooks.com/blog
Send us a tweet: twitter.com/FreshBooks
Find career opportunities: freshbooks.com/careers"
CAD COW,Toronto,https://linkedin.com/company/cadcow/,https://cadcow.com/,11-50,2k,Architecture,We supply great professionals via remote access to Architecture & Interior Design firms. And produce amazing Renderings!,
Arteria AI,Toronto,https://linkedin.com/company/arteria-ai/,https://arteria.ai/,51-200,14k,"AI, Legal",Discover the power of data-driven contracts,We build data-centric end-to-end Digital Documentation powered by AI. Our award-winning platform Arteria turns your documents into data that powers your data systems and automates and accelerates documentation processes to reduce the time it takes to generate and collaborate on documentation processes and get you to revenue and value faster.
Ada,Toronto,https://linkedin.com/company/ada-cx/,https://ada.cx/,201-500,51k,AI,We make customer service extraordinary for everyone.,"Ada is the world’s leading customer service automation company. Built for the digitally transforming enterprise, Ada’s AI-powered customer service automation platform helps companies effortlessly resolve their customer inquiries in any language or channel. Since 2016, Ada has powered more than 4 billion automated customer interactions for companies like Meta, Verizon, AirAsia, Yeti, and Square. Born in Toronto, Ada serves companies and their customers worldwide."
500px,Toronto,https://linkedin.com/company/500px/,https://500px.com/,11-50,31k,Consumer,Discover and share the world’s best photos,"500px is the premier online community and social network for aspiring and practicing photographers. Millions of creatives from 195 countries come to 500px to discover and share incredible photos, gain global exposure, and get paid for their work and skills."
Top Hat,Toronto,https://linkedin.com/company/top-hat-hq/,https://tophat.com/,201-500,32k,EdTech,Top Hat is the higher education app that makes active learning come to life.,"Top Hat is transforming student engagement by empowering educators to deliver personalized, meaningful and equitable learning. More than 3 million students at 750 of the top 1,000 colleges and universities in North America have used Top Hat."
TouchBistro,Toronto,https://linkedin.com/company/touchbistro/,https://touchbistro.com/,501-1k,23k,Restaurants,We create innovative technology that makes it easier for restaurateurs to run their business and improve the experience,"TouchBistro is an all-in-one POS and restaurant management system that makes running a restaurant easier. 

Providing the most essential front of house, back of house, and guest engagement solutions on one powerful platform, TouchBistro helps restaurateurs streamline and simplify their operations – allowing them to spend less time manually connecting the dots, and more time connecting with guests and growing their business."
1Password,Toronto,https://linkedin.com/company/1password/,https://1password.com/,1k-5k,116k,Security,Productive businesses use 1Password to secure employees at scale.,"Trusted by more than 100,000 businesses to protect their data, 1Password gives you complete control over passwords and other sensitive business information.

As an integral layer of the Identity and Access Management (IAM) stack, 1Password protects all employee accounts – even those you aren’t aware of. Give employees secure access to any app or service and safely share everything you need to work together – including logins, documents, credit cards, and more – while keeping everything else private.

1Password is easy to deploy and integrates with Azure AD, Okta, OneLogin, and Slack, so you can automatically provision employees using the systems you already trust. It’s simple to manage and fits seamlessly into your team’s workflow, so you can secure your business without compromising productivity."
Nulogy,Toronto,https://linkedin.com/company/nulogy/,https://nulogy.com/,51-200,13k,Supply Chain,Leveraged by the world’s leading brands to optimize and accelerate global supply chain performance.,"Nulogy is the market leader in synchronizing the extended supply chain network, having pioneered the new digital era for contract packaging and manufacturing operations and external supply chain networks. For over two decades, Nulogy has been helping upstream supply ecosystems work better together and has been enabling customers to drive operational control and network synchronization with its multi-enterprise, cloud-based solutions.

Our cutting-edge solutions power hundreds of manufacturing networks and operations worldwide, helping to drive agility and efficiency in complex supply chain processes and enable sustainability in bringing consumer products to market.

As named by Gartner, Nulogy is the sole notable solution provider dedicated to serving the contract packaging and manufacturing market. We take immense pride in being recognized as an industry leader, having been named a leading and innovative solution provider by the Association for Contract Packers and Manufacturers, International Warehousing and Logistics Providers Association, SupplyChainBrain, and Food Logistics, to name a few.

Beyond industry recognition, what truly motivates us to do our best work is the impact we drive for our customers. Today, all 3PLs in Gartner’s Leader Magic Quadrant run their contract packaging operations on Nulogy, and many of the leading CPG companies in Gartner’s Supply Chain Top 25 leverage Nulogy within their external networks. Nulogy’s annual benchmarking study led by the Association for Contract Packers and Manufacturers, recognizes that contract packagers and manufacturers that are powered by Nulogy grow over 50% faster than the industry average. These market leaders run on Nulogy in order to accelerate supply chain response and dynamically collaborate at the speed of today’s market.

Join the hundreds of fast-moving consumer goods companies and their supply chain partners that are powered by Nulogy and unlock your competitive advantage today."
integrate.ai,Toronto,https://linkedin.com/company/integrate.ai/,https://integrate.ai/,11-50,9k,AI,"We help developers solve the world’s most important problems without risking the world’s most sensitive data.""We help developers solve the world’s most important problems by unlocking the value from sensitive data"," without increasing risk. ‍ That's why we're building tools for privacy-safe machine learning and analytics for the distributed future of data."""
Float,Toronto,https://linkedin.com/company/floatfinancial/,https://floatcard.com/,51-200,58k,Fintech,Float is an all-in-one corporate card & spend management solution that helps Canadian businesses control their spending,"Float is on a mission to simplify spend for companies and teams.

Our corporate cards and spend management platform enable you to:
- Eliminate employee reimbursements and expense reports
- Seamlessly pre-approve credit card expenses through Slack or the Float app
- Automatically collect receipts
- Integrate with accounting software to close your books faster
- Manage CAD and USD card spend in one platform

And much more. Learn why thousands of Canadian businesses use and love Float to manage their business spend."
Voiceflow,Toronto,https://linkedin.com/company/voiceflowhq/,https://voiceflow.com/,201-500,25k,AI,"Where ambitious teams design, develop, and launch impactful AI agents, at scale.","Teams use Voiceflow to design, develop, and launch AI agents — together, faster, at scale."
#paid,Toronto,https://linkedin.com/company/hashtagpaid/,https://hashtagpaid.com/,51-200,12k,"Marketing, Creators","Launch, scale & measure creator campaigns with #paid's creator marketing platform.",#paid is a technology company that builds tools for the creator economy. Businesses of every size—from DTC brands to fortune 500 companies—use our software to collaborate with creators and grow their businesses. Learn more about #paid’s creator media platform at www.hashtagpaid.com.
StackAdapt,Toronto,https://linkedin.com/company/stackadapt/,https://stackadapt.com/,1k-5k,92k,Marketing,Discover the self-serve programmatic advertising platform used by digital marketers around the world.,"Discover the multi-channel programmatic advertising platform used by digital marketers around the world. StackAdapt is a digital advertising platform that specializes in native, display, video, connected TV, audio, in-game, and DOOH advertising.

Our state-of-the-art platform is where some of the most progressive work in machine learning meets cutting-edge user experience. StackAdapt is designed around the three core pillars of programmatic—planning, executing and analyzing.

StackAdapt is ranked as the number 1 DSP on G2. For six consecutive years with over hundreds of reviews, StackAdapt has been recognized as a high performer and the highest-ranking DSP in customer satisfaction by G2. StackAdapt was also recognized as an Enterprise Fast 15 winner as part of the Technology Fast 50™ program in 2023 and is one of Ad Age’s Best Places to Work in 2024.

Learn more about StackAdapt here: www.stackadapt.com. And if you're looking for a change, we'd love to have you on our team—check out our open roles by visiting: www.stackadapt.com/careers.

StackAdapt is headquartered in Toronto, Canada. We have teams and client support across North America, EMEA, APAC, and LATAM."
Cohere,Toronto,https://linkedin.com/company/cohere-ai/,https://cohere.com/,201-500,248k,"AI, Enterprise, SaaS","Empowering enterprises with private, powerful AI.","Cohere builds enterprise-grade large language models and AI products that bring private, secure, and customizable generative AI to businesses, letting them deploy AI on their own data and infrastructure."
Waabi,Toronto,https://linkedin.com/company/waabi/,https://waabi.ai/,51-200,31k,"AI, Autonomous Vehicles",Built to think. Born to haul.,"Founded by AI pioneer Raquel Urtasun, Waabi develops a generative-AI-powered Physical AI platform for autonomous driving, and has launched commercial operations for autonomous trucks."
Ideogram,Toronto,https://linkedin.com/company/ideogram-ai/,https://ideogram.ai/,11-50,16k,AI,On a mission to help people become more creative through generative AI.,"Ideogram is a generative AI image-generation platform known for industry-leading text rendering within images, enabling users to create high-quality images, logos, and designs from text prompts."
Relay,Toronto,https://linkedin.com/company/bankwithrelay/,https://relayfi.com/,201-500,20k,"Fintech, SaaS",The banking platform for self-made businesses.,"Relay is a Toronto-based fintech offering an online business banking and financial-management platform for small businesses, with tools for multiple accounts, expense tracking, and accounts payable."
Chexy,Toronto,https://linkedin.com/company/chexy/,https://chexy.co/,11-50,6k,"Fintech, Real Estate",Pay Smarter. Live Bigger.,"Chexy is a Toronto-based fintech that lets renters pay rent by credit card to earn rewards and report rent payments to credit bureaus to build credit, modernizing the rent payment experience."
Chatbase,Toronto,https://linkedin.com/company/chatbase-co/,https://chatbase.co/,11-50,34k,"AI, SaaS",Chatbase is the complete platform for building & deploying conversational AI agents for your business.,"Chatbase lets businesses build and deploy custom AI agents trained on their own data to answer customer questions and take action by connecting to CRMs, helpdesks, and payment processors."
PolicyMe,Toronto,https://linkedin.com/company/policymeinsurance/,https://policyme.com/,51-200,15k,"Insurance, Fintech",PolicyMe is on a mission to put families first with simple and affordable insurance.,PolicyMe is a Canadian insurtech reinventing insurance by combining smart technology with a human-first approach to drive down costs and simplify protection for Canadian families.
Alexi,Toronto,https://linkedin.com/company/alexilawhq/,https://alexi.com/,11-50,14k,"AI, Legal",Your firm's AI engine that turns daily work into an enduring competitive advantage.,"Alexi is a generative-AI platform for law firms providing legal research, drafting, and analysis within a private, firm-owned environment that captures knowledge and automates legal workflows."
Humi,Toronto,https://linkedin.com/company/humi-hr/,https://humi.ca/,51-200,20k,"HR, SaaS","Where Canadian employment lives. Canada's only platform for payroll, HR, benefits, and SR&ED.","Humi (by Employment Hero) is Canada's leading all-in-one payroll, HR, and benefits platform built specifically for the Canadian market."
Clutch,Toronto,https://linkedin.com/company/clutch-canada/,https://clutch.ca/,501-1k,31k,"Ecommerce, Automotive",Ditch the dealership. Buy or sell your next car online at clutch.ca,"Clutch is Canada's largest online used-car retailer, offering a fully online, hassle-free way to buy, sell, and finance used cars with home delivery."
Phoenix,Toronto,https://linkedin.com/company/phoenix-health-canada/,https://phoenix.ca/,51-200,4k,Healthcare,Off-camera telehealth platform that makes it easy for Canadians to get medications prescribed online by licensed clinicians.,Phoenix is Canada's digital health clinic offering an off-camera telemedicine platform where patients complete an intake form reviewed by licensed Canadian physicians and receive recurring delivery of approved medications.
PointClickCare,Toronto,https://linkedin.com/company/pointclickcare/,https://pointclickcare.com/,1k-5k,392k,"Healthcare, SaaS",Our mission is to help every provider deliver exceptional care.,"PointClickCare is a Toronto-based healthcare technology company providing a cloud-based platform that connects care providers across the senior, long-term and post-acute care continuum."
Kepler Communications,Toronto,https://linkedin.com/company/kepler-communications-inc-/,https://kepler.space/,51-200,37k,"Space, Networking",Building the Internet for Space.,Kepler Communications is a Toronto-based satellite company building an in-orbit data relay network of optical satellites to provide real-time space-to-space connectivity for missions in low Earth orbit and beyond.
Zensurance,Toronto,https://linkedin.com/company/zensurance/,https://zensurance.com/,201-500,29k,"Insurance, Fintech",Canada's leading insurtech for small business insurance.,"Zensurance is a Toronto-based insurtech founded in 2016 offering a digital platform allowing small businesses to easily compare quotes, customize, and purchase commercial insurance policies online."
VendorPM,Toronto,https://linkedin.com/company/vendorpm/,https://vendorpm.com/,51-200,12k,"Real Estate, SaaS",Modernizing the way property managers and vendors work together.,"VendorPM is a Toronto-based proptech company offering vendor management and procurement software for property management, connecting thousands of buildings with tens of thousands of vendors in one marketplace."
Boardy,Toronto,https://linkedin.com/company/boardy/,https://boardy.ai/,11-50,85k,"AI, Networking",AI super-connector that makes warm professional introductions via voice and LinkedIn.,"Boardy is an AI voice superconnector that talks with users over phone calls or LinkedIn messaging, learns their goals, and facilitates thoughtful introductions between founders, investors, and professionals. Founded in 2024 by Andrew D'Souza (ex-Clearco)."
AbCellera,Vancouver,https://linkedin.com/company/abcellera/,https://abcellera.com/,501-1k,44k,Biotech,"Integrating biology, computation, and engineering to develop antibody-based medicines.","AbCellera is a clinical-stage biotechnology company discovering and developing antibody-based medicines across endocrinology, women's health, immunology, and oncology."
Carbon Engineering,Squamish,https://linkedin.com/company/carbonengineering/,https://carbonengineering.com/,51-200,62k,Climate,Restoring our climate with technology that removes carbon dioxide from the air at megaton scale.,Carbon Engineering is a Canadian clean-energy company commercializing direct air capture technology that removes CO2 from the atmosphere and can synthesize it into clean fuels.
Clio,Burnaby,https://linkedin.com/company/clio---cloud-based-legal-technology/,https://clio.com/,1k-5k,104k,"Legal, SaaS",The intelligent legal work platform for legal professionals and law firms.,"Clio empowers legal professionals through AI-powered practice-management software, trusted by hundreds of thousands of professionals across 130+ countries."
Constellation Software,Toronto,https://linkedin.com/company/constellation-software-inc./,https://csisoftware.com/,10k+,59k,Enterprise,An international provider of market-leading software and services to a select number of industries.,"Constellation Software acquires and manages market-leading vertical-market software businesses; founded in 1995, it operates hundreds of companies worldwide."
Coveo,Quebec City,https://linkedin.com/company/coveo/,https://coveo.com/,501-1k,60k,AI,"The leader in AI-Relevance, powering AI-search and GenAI across digital experiences.","Coveo is a market-leading AI-powered relevance platform integrating search, recommendations, personalization, and generative answering for commerce, service, and workplace experiences."
Falcon,Toronto,https://linkedin.com/company/designcompute/,https://designwithfalcon.com/,2-10,1k,Developer Tools,Accelerate design.,"Falcon is a design-to-code platform with a bi-directional environment where design and code stay in sync, taking teams from prompt to production-ready interfaces."
Fullscript,Ottawa,https://linkedin.com/company/fullscript/,https://fullscript.com/,501-1k,25k,Healthcare,"Labs, supplements, and clinical tools - let's make healthcare whole.","Fullscript operates a unified care platform integrating lab testing, supplement dispensing, and clinical tools to help healthcare providers improve patient outcomes."
Hootsuite,Vancouver,https://linkedin.com/company/hootsuite/,https://hootsuite.com/,1k-5k,537k,"Marketing, SaaS",Too many brands suck at social. Yours doesn't have to.,"Hootsuite is a social media management platform that helps brands launch campaigns, deliver social commerce, and manage customer conversations in one place."
Hopper,Montreal,https://linkedin.com/company/hopper/,https://hopper.com/,201-500,386k,"Travel, Fintech, Consumer",The travel platform combining e-commerce and fintech.,Hopper is a global travel platform combining a consumer travel app with fintech products and its B2B arm HTS; its app has 120M+ downloads.
Jane,North Vancouver,https://linkedin.com/company/janeapp/,https://jane.app/,501-1k,43k,Healthcare,Meet Jane - your practice management solution.,Jane is a practice management software and EMR that helps health and wellness businesses automate admin work and create a great patient experience.
Jobber,Edmonton,https://linkedin.com/company/jobber-software/,https://jobber.com/,1k-5k,39k,"Logistics, SaaS",Award-winning job tracking and customer management software for home service businesses.,"Jobber is an operations management platform for small home-service businesses, consolidating quoting, scheduling, invoicing, and payments; used by roughly 300,000 pros."
Kinaxis,Ottawa,https://linkedin.com/company/kinaxis/,https://kinaxis.com/,1k-5k,195k,Supply Chain,Powering the world's supply chains.,"Kinaxis is a global leader in supply chain management software, providing demand planning, supply planning, and S&OP through its RapidResponse/Maestro platform."
Lightspeed,Montreal,https://linkedin.com/company/lightspeedcommerce/,https://lightspeedhq.com/,1k-5k,104k,"Ecommerce, Fintech",The POS and payments platform powering the businesses at the heart of our communities.,Lightspeed Commerce provides a unified POS and payments platform for retail and hospitality merchants in over 100 countries.
NationGraph,Toronto/San Francisco,https://linkedin.com/company/nationgraph/,https://nationgraph.com/,11-50,3k,"GovTech, Marketing",Predict and win public sector deals.,NationGraph is an AI-native procurement intelligence platform that centralizes public-sector signals to help revenue teams win government deals; raised an $18M Series A.
Neo Financial,Calgary,https://linkedin.com/company/neo-financial/,https://neofinancial.com/,501-1k,118k,Fintech,"Savings and credit made clear, simple, and built to move you forward.","Neo Financial is a Canadian fintech helping over one million Canadians access savings and credit tools, offering co-brands, white-labelling, and embedded finance."
Obsidian,Toronto,https://linkedin.com/company/obsidianmd/,https://obsidian.md/,2-10,28k,Productivity,Sharpen your thinking. The free and flexible app for your private thoughts.,"Obsidian is a free, flexible note-taking and knowledge-management app that stores notes locally in open files, with offline access, privacy, and plugin extensibility."
OpenText,Waterloo,https://linkedin.com/company/opentext/,https://opentext.com/,10k+,541k,"Enterprise, AI",Information Reimagined.,"OpenText is a cloud and AI company providing enterprise information management to over 120,000 customers across 180 countries; founded in 1991 in Waterloo, Ontario."
PartnerStack,Toronto,https://linkedin.com/company/partnerstack/,https://partnerstack.com/,51-200,17k,"SaaS, Marketing",The all-in-one partnerships platform that ignites SaaS growth.,"PartnerStack (YC15) is an all-in-one partnerships platform that helps SaaS companies build, manage, and scale partner, affiliate, and channel programs."
Polarity,Waterloo,https://linkedin.com/company/polarityco/,https://polarity.so/,11-50,2k,"Developer Tools, AI",Frontier QA infrastructure for agents.,"Polarity provides QA infrastructure for software and AI agents; its product Paragon performs code review, bug detection, performance refactoring, and security analysis."
Rubric Labs,Toronto,https://linkedin.com/company/rubriclabs/,https://rubriclabs.com/,2-10,1k,AI,Applied AI lab helping companies build intelligent applications.,"Rubric Labs is an applied AI lab that works with companies to bring intelligence into production, building AI agents and backend infrastructure for intelligent applications."
SadServers,Waterloo,https://linkedin.com/company/sadservers/,https://sadservers.com/,2-10,1k,"Developer Tools, EdTech",Linux and DevOps hands-on training and assessments.,"SadServers provides hands-on, realistic technical scenarios - broken Linux servers - for skills training and job-interview assessments."
Skip the Dishes,Winnipeg,https://linkedin.com/company/skipthedishes/,https://skipthedishes.com/,10k+,34k,"Logistics, Ecommerce",Canada's only homegrown delivery network.,"Skip (SkipTheDishes) connects millions of Canadians across 450+ cities with 50,000+ restaurant, grocery, and retail partners; part of Just Eat Takeaway.com."
Spellbook,Toronto,https://linkedin.com/company/spellbookai/,https://spellbook.legal/,201-500,20k,Legal,"AI for contracts, trusted by 4,500 in-house teams and law firms.","Spellbook is an AI suite for commercial lawyers that drafts and reviews contracts directly in Microsoft Word, with citation-backed Q&A and market comparison."
Superwhisper,Toronto,https://linkedin.com/company/superwhisper/,https://superwhisper.com/,11-50,2k,"AI, Consumer","AI-powered voice to text for macOS, Windows and iOS.","Superwhisper is offline, local AI-powered voice-to-text for macOS, Windows, and iOS, built by a bootstrapped Canadian app team."
Tenstorrent,Toronto,https://linkedin.com/company/tenstorrent-inc./,https://tenstorrent.com/,501-1k,82k,Hardware,Run anything. Run anywhere.,"Tenstorrent is a next-generation computing company building AI computers, with expertise in computer architecture, ASIC design, RISC-V, and neural network compilers."
turbopuffer,Ottawa,https://linkedin.com/company/turbopuffer/,https://turbopuffer.com/,11-50,6k,Data,Serverless vector and full-text search on object storage.,"turbopuffer is a serverless vector and full-text search engine built on object storage, caching active data on NVMe and memory to scale to billions of documents."
Xanadu,Toronto,https://linkedin.com/company/xanaduai/,https://xanadu.ai/,51-200,56k,"Quantum, AI",One of the world's leading photonic quantum hardware providers.,"Xanadu is a Canadian quantum technology company and a leading photonic quantum hardware provider; it develops PennyLane, a leading open-source quantum machine learning library."
ApplyBoard,Kitchener,https://linkedin.com/company/applyboard/,https://applyboard.com/,1k-5k,121k,"EdTech, SaaS",Enabling access to global education.,"ApplyBoard is an EdTech platform that simplifies the international student journey from exploration to enrollment, connecting students worldwide with universities, colleges, and schools."
Auvik,Waterloo,https://linkedin.com/company/auvik/,https://auvik.com/,201-500,14k,"Developer Tools, SaaS","Effortlessly manage diverse networks, security devices, and SaaS applications.","Auvik is a cloud-based IT management platform providing network monitoring, mapping, and SaaS management for IT teams and MSPs."
Vidyard,Kitchener,https://linkedin.com/company/vidyard/,https://vidyard.com/,201-500,44k,"Media, Marketing, SaaS",Sellers win more deals with Vidyard.,"Vidyard is an AI-powered video platform for revenue teams, offering personal video messaging, branded hosting, AI avatars, and automated video agents."
Axonify,Waterloo,https://linkedin.com/company/axonify/,https://axonify.com/,201-500,34k,"HR, AI","How the frontline learns, connects and gets things done.","Axonify is a frontline enablement platform using brain science and AI to drive knowledge retention via microlearning, serving 3.5M+ workers across 160+ countries."
TextNow,Waterloo,https://linkedin.com/company/textnow/,https://textnow.com/,51-200,68k,"Networking, Consumer","Free wireless phone service with unlimited talk and text, plus data, in one app.","TextNow (Enflick Inc.) offers free wireless phone service via a mobile app with 300M+ downloads, headquartered in Waterloo."
GeoComply,Vancouver,https://linkedin.com/company/geocomply/,https://geocomply.com/,201-500,25k,Security,Building a safer and more secure internet for all.,"GeoComply provides geolocation compliance, fraud prevention, and cybersecurity solutions installed on over 400 million devices, with roots in online gaming and sports betting."
Trulioo,Vancouver,https://linkedin.com/company/trulioo/,https://trulioo.com/,201-500,43k,Security,"The world's identity platform for verification, fraud prevention and growth.","Trulioo is a global identity verification platform covering 195 countries, delivering KYC/KYB, AML, and fraud prevention for the digital economy."
Thinkific,Vancouver,https://linkedin.com/company/thinkific/,https://thinkific.com/,201-500,63k,"EdTech, SaaS",The learning commerce platform built for scale.,"Thinkific is an AI-powered learning commerce platform that lets businesses create, market, and sell online courses, used by 35,000+ customers reaching 200M+ learners."
Dapper Labs,Vancouver,https://linkedin.com/company/dapper-labs/,https://dapperlabs.com/,501-1k,47k,Web3,The serious business of fun and games on the blockchain.,"Dapper Labs is the blockchain company behind CryptoKitties, NBA Top Shot, NFL All Day, and the Flow blockchain."
Visier,Vancouver,https://linkedin.com/company/visier-analytics/,https://visier.com/,501-1k,46k,HR,The global leader in Workforce Intelligence.,"Visier provides workforce AI giving leaders trusted insights for confident workforce decisions, serving 85,000+ customers across 75 countries."
Dialogue,Montreal,https://linkedin.com/company/dialogue-md/,https://dialogue.co/,501-1k,94k,Healthcare,Health is everything. Don't settle.,"Dialogue is Canada's leading virtual care provider, delivering integrated primary care, mental health, and wellness services through a single 24/7 app."
nesto,Montreal,https://linkedin.com/company/nesto-ca/,https://nesto.ca/,501-1k,15k,Fintech,The bright side of mortgages.,"nesto offers a transparent online mortgage experience, using technology to screen the whole market in seconds with commission-free expert support."
